text,label
Win a free vacation now,Spam
Exclusive offer just for you,Spam
Click to claim your free prize,Spam
"Limited time deal, act fast",Spam
You have been selected for a gift,Spam
Are we still meeting today?,Ham
Let's grab lunch tomorrow,Ham
Can you send me the report?,Ham
Don't forget the meeting at 3 PM,Ham
I will call you in 10 minutes,Ham
Congratulations! You've won a car,Spam
Urgent: Verify your bank account,Spam
Your OTP is 4531,Ham
How was your presentation?,Ham
"I'll be late, stuck in traffic",Ham
